title,authors,date,first_p
Elon Musk’s million-dollar-a-day rewards are undemocratic,Celeste Cariker,2024-11-01T16:27:00Z,"have you heard? kamala harris is for they/them, trump is for you! slogans, ads and unending campaigns fielded by billionaire super pacs most prominent of which beingelon musk’s  america pac, which has been running a million dollar sweepstake for registered voters who sign a petition supporting first and second amendment rights. celster cariker pz ‘28 argues that the small billionaire should be prohibited from throwing their wealth around at disproportionate rates to influence the outcome of elections. "
The politics behind apolitical acts,Eric Lu,2024-11-01T16:21:00Z,"while haverim’s action of painting over the walker wall and encouraging participants to keep designs apolitical and inclusive, pure intentions of bringing “unity and fun to the wall and to [the] schools,” eric lu po ‘28 argues that painting over a free wall and encouraging apolitical responses is an inherently political action."
In Defense of the Pomona College Judicial Council,Henri Prevost,2024-11-01T16:15:00Z," former head chair of the pomona college judicial council henri prevost po ‘24 writes to his community after graduating, arguing that president g. gabrielle starr decision to circumvent the established channels of judicial review poses an imminent and immediate threat to the health of pomona’s community."
"‘Yakking’ isn’t a canon event, party responsibly",Kabir Raina,2024-11-01T16:10:00Z,"whirring sirens and blaring lights have marked the end of what should have been a  fun night for many, and a culture of overconsumption has become commonplace, a cannon event for many students at the 5c’s. kabir raina cm ‘28 makes the case that responsible partying isn’t the end of your youth or a sober tactic, with the right tools and support, no one needs to end a good night in an ambulance."
"The ‘if he wanted to, he would’ mentality is holding women back",Tess McHugh,2024-11-01T16:01:00Z,"ladies, let’s talk about it. it feels good to be asked out, but are we losing chances at love by waiting for the man to ask us out? urging women to take a chance and make the first move, tess mchugh po ’25  argues that these societal gender norms are holding women back."
You can’t silence us: A united front against Pomona’s repression,"Outback Editors, Undercurrents Editors and The Scripps Voice Editors",2024-10-25T11:23:00Z,"in the wake of the oct. 7 20204 student protests, wherein students occupied carnegie hall, 5c students have been suspended and banned from the claremont colleges. student reporters were also among those banned or suspended, and some student media organizations are under investigation. in response, the outback newsprint magazine, the claremont undercurrents, and the scripps voice come together to argue why it’s important for pomona’s administration to respect student reporters and freedom of press.  "
We will not tolerate collective punishment: Suspended students speak out,Suspended Students,2024-10-25T09:04:00Z,"in the wake of the oct. 7, 2024 occupation of carnegie hall, pomona college has subjected 10 students to extrajudicial  suspension for the remainder of the academic year, removing them from their community, their homes and access to basic needs. these students have banded together to articulate their experience and the continued fight against the administration’s actions. "
A guide to ballot propositions,Akshay Seetharam,2024-10-25T06:37:00Z,"are you a california native, are you looking at the proposition ballot and finding yourself endlessly confused by the legalese that inundates each entry? fear not, akshay seetharam hm ’27 created a guide perfect for you, distilling the complexities of the ballot into more digestible pieces helping you make informed, measured decisions!"
Pomona will protest or perish,Maggie Zhang,2024-10-23T06:00:00Z,"as pomona and scripps college double down on punishing student protestors, guest writer maggie zhang po ’26 reflects on how protests serve as the ultimate expression of the college’s core values, and therefore must be protected and respected. "
GUEST EDITORIAL: Pomona’s culpability under International Humanitarian Law,Mike Withey,2024-10-11T08:23:00Z,"mike withey po ’68 calls for us to reflect on our current state of the world and to recognize the responsibility that we all have. withey specifically identifies pomona as complicit in our current world crisis. calling for pomona to take responsibility under international law, withey argues for an academic conference and divestment."
Y/our language speaks us out of existence.,Luke Brown,2024-10-11T05:47:00Z,"luke brown, po ‘26 explores the work of being queer and nonbinary through the weight of culpability in our language and the construct of those around us. our pronoun use particularly demonstrates y/our own anti-queer culpability. brown explores how we navigate this space and the sensation of erasure."
It’s time for Pomona to appoint a student trustee,Eric Lu,2024-10-11T05:38:00Z,"in the current climate of student unrest, protests and disciplinary and judicial response from pomona college, the valley between the world of students and administration has grown wider and wider. eric lu ’28 argues that pomona could address this growing dissonance by electing a student voice to the board of trustees."
You should go to Church,Lisa Gorelik,2024-10-11T05:27:00Z,"wanna come to scripps brunch? “sorry i have church,” is what you might hear lisa gorelik cm ’25 saying, if you ask her to a sunday morning meal. gorelik, missing her high school chapel time, decided to start exploring churches around the claremont/upland area. going to many churches in the area, including catholic, presbyterian, orthodox, methodist, unitarian, episcopal , and non-denominational churches, gorelik reminisces about high school, and calls on others to explore churchgoing to find hope, to practice gratitude, build community or just to get off campus."
"Petiscos, grounding and the battle against the sophomore slump",Adam Akins,2024-10-04T06:23:00Z,"ever need a getaway to reset from campus? a place for friends or a place to be anonymous? well for adam akins pz ’27, that place is petiscos on first street in the claremont village. akins opens up about starting life at college, community and a new found vulnerability over burritos, tacos and cold horchata."
Pomona’s fire response left students unprotected. Here’s what needs to change.,Scott Gowdy,2024-10-04T05:58:00Z,"it’s fire season in southern california as most claremont colleges students know. with a fire to the north, east and south, claremont sits on the side of a triangle of fires. the air quality on campus was unhealthy for many days, but what did the colleges do to protect their students’ health? not enough, argues scott gowdy po ’28."
Why clinging to college memories can hold us back,Tess McHugh,2024-09-27T04:31:00Z,"seniors are you in your feelings? tess mchugh po ’25 writes about the battle against senior year blues and rosy retrospection. calling for grounding in the present, mchugh argues for striking balance between the past and nostalgia."
Eliminating test scores is not the answer to educational equity,Eric Lu,2024-09-27T03:54:00Z,"as the nation’s leading educational institutions start to reinstitute testing, the claremont colleges have remained stalwart, extending test optional policies until the 2027 admission cycle. eric lu, po ’28 argues that testing now arises as an opportunity for equity through standardization. "
Why more CMCers don’t write for TSL,Lisa Gorelik,2024-09-27T02:37:00Z,"cmc student lisa gorelik felt an absence of her classmates in tsl staff demographics. setting out to find the reason for this absence of cmc students in the tsl demographics, gorelik names differences in culture, journalistic styles and political leanings as causes, uncovering part of the claremont colleges’ journalistic web."
Get canceled,Tania Azhang and Adam Akins,2024-09-20T07:43:00Z,"if kim does it, so can we: tania azhang pz ’25 and adam akins pz ’27 invite you to state your opinions and claim your voice in spite the fear of being canceled. "
"Fuck Camp Sec, they couldn’t even find my bike",Ben Lauren,2024-09-20T07:35:00Z,"what is the difference between safety and surveillance? with tensions surrounding policing and the increased presence of campus safety officers at the claremont colleges, ben lauren pz ’25 explores the state of what “safety” means on our campuses today."
Hating Country Music is Un-American,Lisa Gorelik,2024-09-13T05:00:00Z,"tired of listening to pop? lisa gorelik cm ’25 puts on her cowboy boots to call for people to change their minds about country music. tracing back country to its roots in appalachia and breaking down common stereotypes, gorelik explains why the genre is for everyone and how its landscape is more dynamic than most think."
Disillusionment Isn’t Resistance—Gen Z Needs to Vote Blue to Make Change,Tess McHugh,2024-09-13T04:56:00Z,"in an era of growing distrust in the two-party system and voter nihilism, tess mchugh po ’25 highlights the importance of using your voice and voting towards the country you want to see. "
Stop Choking People Without Asking,Miriam Akhmetshin,2024-09-13T04:54:00Z,"amid rising popularity of sexual choking in popular media, miriam akhmetshin sc ’26 describes how non-consensual strangulation is putting 5c students at risk. advocating for consent, trust-building and education around sexual strangulation, akhmetshin describes how strangulation poses health risks, creates sexist power dynamics and is focused on male-centered pleasure."
"No-taxes-on-tips, a solution or a distraction?",Eric Lu,2024-09-13T04:53:00Z,"surprisingly, trump and harris have united under one policy, eliminating tax on tips, a seeming slam dunk for the worker, but eric lu po ’28 warns that this policy is a hollow promise, offering a band-aid solution that distracts from a greater push for workers rights."
Who graduation disruption actually harms,Kevin Carlson,2024-05-12T19:47:00Z,graduating senior kevin carlson po ’24 urges pomona divest from apartheid (pdfa) organizers to reconsider their methods after pomona’s commencement ceremony was moved off campus. 
"Dear Pomona College faculty, vote with your students",Victor Silverman,2024-05-02T16:08:00Z,emeritus professor of history victor silverman pens a letter in support of a faculty resolution on divestment from israeli organizations and affiliates.
Scripps needs to get its (sustainability) act together,Maya Malev,2024-04-26T08:47:00Z,"scripps college, with its beautiful grass lawns and composting programs gives the impression of being a sustainable haven, maya malev sc ’27 reveals the truth."
What makes a protest ‘acceptable’,Cooper Lennon Crane,2024-04-26T07:49:00Z,cooper crane po‘24 explains the political and social structures that inform the response to protests and how protests factor in larger political conflicts.
How migrant farmworkers bear the brunt of the climate crisis,Kate King,2024-04-26T04:40:00Z,"with the ongoing climate crisis, kate king sc ’27 is calling for a critical analysis of not just where our food comes from, but who is working to produce that food."
*Whispers* The sensory journey of ASMR,Tess McHugh,2024-04-26T03:46:00Z,"whispers, rain sounds and tapping fingernails provide tess mchugh po ’25 with a sensation that calms her mind and body, but these asmr triggers are met with disdain and backlash."
A relationship isn’t ownership,Anjali Suva,2024-04-26T03:43:00Z,"tired of losing a friend to a romantic relationship? so is anjali suva po ’27, who answers by turning to some lessons from non-monogamy."
Post grad doesn’t have to be all panic,Klara Jacobs,2024-04-26T03:36:00Z,"with graduation just a few weeks away, klara jacobs pz ’23 offers some post-grad wisdom to make the panic of entering the “real world” more manageable."
"Dear Pomona College administrators, masked protestors aren’t a danger to our community — but you are",Aria Wang,2024-04-19T04:16:00Z,"one of president gabrielle starr’s primary concerns with the events of april 5, were the “masked, unidentified individuals.” aria wang po ’27 addresses her concern and counters: how can students willingly show their identities to an administration that refuses to include them in their claims to community?"
"I’m calling you in, President Starr: Pomona must support academic freedom and students’ right to free speech",Aaron Matsuoka,2024-04-13T20:26:00Z,"following the april 5 arrests on pomona’s campus, aaron matsuoka pz ’26 questions the implications of president starr’s use of police force on students’ right to free speech and academic freedom."
"Pomona, riot gear police is the opposite of de-escalation and ‘dialogue’",Jenna McMurtry,2024-04-10T03:27:00Z,former tsl editor-in-chief jenna mcmurtry po ’25 argues that pomona college’s decision to call the police on april 5 protestors was unprecedentedly cruel. 
Carbon dioxide removal: The single most impactful climate action,Harrison Chapin,2024-04-05T03:54:00Z,tired of seeing band-aid solutions in climate action? harrison chapin pz ’24 is calling for 5c students to take long term action against climate change. 
