Reading,Temp
8,10.8
9,10.9
8,11.1
8,10.9
8,10.2
7,10
7,9.7
7,8.8
4,6.8
-2,1.9
-3,1.2
-5,-0.9
-6,-1.7
-7,-2.2
-7,-2.6
-9,-3.5
-13,-7.1
-14,-8
-22,-14.5
-17,-10.1
-17,-9.6
-14,-8
-15,-9
-15,-8.7
-15,-8.1
-14,-6.9
-18,-11.2
-20,-14.1
-26,-17.3
-26,-17.7
-30,-19.7
-30,-20.6
-34,-22.7
-34,-22.9
-30,-19.8
-30,-19.7
-29,-19.1
-27,-17.7
-24,-15.9
-23,-16.1
-24,-16.4
-26,-17.7
-26,-17.9
-27,-18
-27,-18.2
-27,-18.4
-29,-18.4
-28,-18.8
-27,-18
-24,-16.1
-14,-8.3
-13,-6.7
-2,0.3
-4,-1.3
-7,-3.5
-9,-3.8
-17,-10.5
-12,-8.3
6,9.3
7,9.7
15,15.8
22,23.5
27,27.3
27,28.8
28,29.5
24,23.7
18,18.9
20,21.4
35,35.6
42,40.5
