state,sat,takers,income,years,public,expend,rank
Iowa,1088,3,326,16.79000092,87.80000305,25.60000038,89.69999695
SouthDakota,1075,2,264,16.06999969,86.19999695,19.95000076,90.59999847
NorthDakota,1068,3,317,16.56999969,88.30000305,20.62000084,89.80000305
Kansas,1045,5,338,16.29999924,83.90000153,27.13999939,86.30000305
Nebraska,1045,5,293,17.25,83.59999847,21.04999924,88.5
Montana,1033,8,263,15.90999985,93.69999695,29.47999954,86.40000153
Minnesota,1028,7,343,17.40999985,78.30000305,24.84000015,83.40000153
Utah,1022,4,333,16.56999969,75.19999695,17.42000008,85.90000153
Wyoming,1017,5,328,16.01000023,97,25.95999908,87.5
Wisconsin,1011,10,304,16.85000038,77.30000305,27.69000053,84.19999695
Oklahoma,1001,5,358,15.94999981,74.19999695,20.06999969,85.59999847
Arkansas,999,4,295,15.48999977,86.40000153,15.71000004,89.19999695
Tennessee,999,9,330,15.72000027,61.20000076,14.57999992,83.40000153
NewMexico,997,8,316,15.92000008,79.5,22.19000053,83.69999695
Idaho,995,7,285,16.18000031,92.09999847,17.79999924,85.90000153
Mississippi,988,3,315,16.76000023,67.90000153,15.35999966,90.09999847
Kentucky,985,6,330,16.61000061,71.40000153,15.68999958,86.40000153
Colorado,983,16,333,16.82999992,88.30000305,26.55999947,81.80000305
Washington,982,19,309,16.22999954,87.5,26.53000069,83.19999695
Arizona,981,11,314,15.97999954,80.90000153,19.13999939,84.30000305
Illinois,977,14,347,15.80000019,74.59999847,24.40999985,78.69999695
Louisiana,975,5,394,16.85000038,44.79999924,19.71999931,82.90000153
Missouri,975,10,322,16.42000008,67.69999695,20.79000092,80.59999847
Michigan,973,10,335,16.5,80.69999695,24.61000061,81.80000305
WestVirginia,968,7,292,17.07999992,90.59999847,18.15999985,86.19999695
Alabama,964,6,313,16.37000084,69.59999847,13.84000015,83.90000153
Ohio,958,16,306,16.52000046,71.5,21.43000031,79.5
NewHampshire,925,56,248,16.35000038,78.09999847,20.32999992,73.59999847
Nevada,917,18,288,14.72999954,89.09999847,21.79000092,81.09999847
Oregon,908,40,261,14.47999954,92.09999847,30.48999977,79.30000305
Vermont,904,54,225,16.5,84.19999695,20.17000008,75.80000305
California,899,36,293,15.52000046,83,25.94000053,77.5
Delaware,897,42,277,16.95000076,67.90000153,27.80999947,71.40000153
Connecticut,896,69,287,16.75,76.80000305,26.96999931,69.80000305
NewYork,896,59,236,16.86000061,80.40000153,33.58000183,70.5
Maine,890,46,208,16.04999924,85.69999695,20.54999924,74.59999847
Florida,889,39,255,15.90999985,80.5,22.62000084,74.59999847
Maryland,889,50,312,16.89999962,80.40000153,25.40999985,71.5
Virginia,888,52,295,16.07999992,88.80000305,22.22999954,72.40000153
Massachusetts,888,65,246,16.79000092,80.69999695,31.73999977,69.90000153
Pennsylvania,885,50,241,17.27000046,78.59999847,27.97999954,73.40000153
RhodeIsland,877,59,228,16.67000008,79.69999695,25.59000015,71.40000153
NewJersey,869,64,269,16.37000084,80.59999847,27.90999985,69.80000305
Texas,868,32,303,14.94999981,91.69999695,19.54999924,76.40000153
Indiana,860,48,258,14.39000034,90.19999695,17.93000031,74.09999847
Hawaii,857,47,277,16.39999962,67.59999847,21.20999908,69.90000153
NorthCarolina,827,47,224,15.31000042,92.80000305,19.92000008,75.30000305
Georgia,823,51,250,15.55000019,86.5,16.52000046,74
SouthCarolina,790,48,214,15.42000008,88.09999847,15.60000038,74
